[2026-03-22T17:15:37.414Z] GET https://ouraring.com/ → pending (?ms, ?B)
[2026-03-22T17:15:37.844Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/css/716dcb62c8fe6337.css → 200 (176ms, 229813B)
[2026-03-22T17:15:37.844Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/webpack-768fb8637158b4e1.js → 200 (208ms, 8425B)
[2026-03-22T17:15:37.844Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/4bd1b696-182b6b13bdad92e3.js → 200 (234ms, 173025B)
[2026-03-22T17:15:37.845Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/1255-1e9a537968501932.js → 200 (233ms, 172625B)
[2026-03-22T17:15:37.845Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/main-app-234525b5e3ddebfb.js → 200 (233ms, 525B)
[2026-03-22T17:15:37.845Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/4168c042-2bb93ca0a7358304.js → 200 (245ms, 331410B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/97ba7d01-fc7eb6d321fbb20c.js → 200 (265ms, 78761B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/1126-6af5c73de36e2571.js → 200 (269ms, 191401B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/1768-701bc35e36b14539.js → 200 (268ms, 67049B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/1966-49a359aea8589392.js → 200 (335ms, 194246B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/1664-ea1a760580513919.js → 200 (346ms, 41529B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/1511-d46055e5c8bab40a.js → 200 (351ms, 132665B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/506-7fb79a2b62d6c71b.js → 200 (365ms, 181152B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/4888-60fd6f9475d282d3.js → 200 (371ms, 39422B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/2269-5c4c393abba3d7b4.js → 200 (377ms, 49954B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/3757-b01c2685d6d44448.js → 200 (378ms, 32069B)
[2026-03-22T17:15:37.846Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/5709-390183b4230abf37.js → 200 (378ms, 19590B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/3479-adbde109f2af1498.js → 200 (378ms, 31001B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/6161-cf78c6fc332c91b6.js → 200 (404ms, 7122B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/3580-d436bcafd357d580.js → 200 (404ms, 30402B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/7968-60ae5bed804614a0.js → 200 (380ms, 15833B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/5996-b800400fdd09f616.js → 200 (378ms, 17930B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/9998-12e61ef214569cb3.js → 200 (379ms, 11734B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/5815-21eb3bd845087246.js → 200 (403ms, 10878B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/3023-7d34dfb7ad2b8609.js → 200 (444ms, 18430B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/937-0ba692fe09089a2d.js → 200 (379ms, 14820B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/5896-dd79a6949c4b68b7.js → 200 (507ms, 23978B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/1679-d2a7d8fe8eb20eeb.js → 200 (380ms, 9768B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/3680-c46e1f7e8f2eec69.js → 200 (380ms, 6990B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/app/%5Blocale%5D/page-85d462c577556763.js → 200 (462ms, 56984B)
[2026-03-22T17:15:37.847Z] GET https://ouraring.com/b/a/ecom-website/0a2dd15d6ea3b7ccea8bab1a43ebe172e2dc6283/_next/static/chunks/7122-084c7200d44f3329.js → 200 (398ms, 32108B)
